"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52368","Calculation Testing | Scenario=S17 | Mode=Debit Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 17:10:47 IST 2025","broken","Thu Sep 25 17:11:39 IST 2025","TestCalculations","Calculation_test","",""
"","18053","Calculation Testing | Scenario=S15 | Mode=UPI | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 15:09:28 IST 2025","passed","Thu Sep 25 15:09:46 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18161","Calculation Testing | Scenario=S1 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 10:32:27 IST 2025","passed","Thu Sep 25 10:32:45 IST 2025","TestCalculations","Calculation_test","",""
"","19134","Calculation Testing | Scenario=S8 | Mode=Debit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 12:45:43 IST 2025","passed","Thu Sep 25 12:46:02 IST 2025","TestCalculations","Calculation_test","",""
"","19597","Calculation Testing | Scenario=S10 | Mode=RuPay Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 13:27:38 IST 2025","passed","Thu Sep 25 13:27:57 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18088","Calculation Testing | Scenario=S4 | Mode=Debit Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 11:02:58 IST 2025","passed","Thu Sep 25 11:03:16 IST 2025","TestCalculations","Calculation_test","",""
"","18153","Calculation Testing | Scenario=S6 | Mode=Debit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 12:13:34 IST 2025","passed","Thu Sep 25 12:13:52 IST 2025","TestCalculations","Calculation_test","",""
"","18705","Calculation Testing | Scenario=S13 | Mode=Wallet | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 14:40:08 IST 2025","passed","Thu Sep 25 14:40:27 IST 2025","TestCalculations","Calculation_test","",""
"","40533","Calculation Testing | Scenario=S9 | Mode=RTGS | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 13:12:30 IST 2025","broken","Thu Sep 25 13:13:10 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","16781","Calculation Testing | Scenario=S4 | Mode=Net Banking | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 11:05:51 IST 2025","passed","Thu Sep 25 11:06:08 IST 2025","TestCalculations","Calculation_test","",""
